Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
03/01/2015 16,402.185,1834.7099999999996,,762.7325000000001,
03/01/2015 17,387.2725,1834.7099999999996,,821.315,
03/01/2015 18,445.04499999999996,1834.7099999999996,,865.46,
03/01/2015 19,514.6925,1834.7099999999996,,838.01,
03/01/2015 20,470.17499999999995,1834.7099999999996,,691.8,
03/01/2015 21,374.90000000000003,1834.7099999999996,,547.5350000000001,
03/01/2015 22,283.845,1834.7099999999996,,461.94500000000005,
03/01/2015 23,328.4875,1834.7099999999996,,480.545,
04/01/2015 00,418.39,1834.7099999999996,,519.225,
04/01/2015 01,422.8075,1834.7099999999996,,514.825,
04/01/2015 02,345.3425,1834.7099999999996,,481.11250000000007,
04/01/2015 03,340.655,1834.7099999999996,,466.23999999999995,
04/01/2015 04,342.3825,1834.7099999999996,,444.695,
04/01/2015 05,306.0475,1834.7099999999996,,395.1125,
04/01/2015 06,272.33250000000004,1834.7099999999996,,348.63,
04/01/2015 07,227.6625,1834.7099999999996,,305.285,
04/01/2015 08,219.0475,1834.7099999999996,,273.045,
04/01/2015 09,196.3775,1834.7099999999996,,249.59500000000003,
04/01/2015 10,149.1425,1834.7099999999996,,233.255,
04/01/2015 11,121.8375,1834.7099999999996,,210.23250000000002,
04/01/2015 12,115.285,1834.7099999999996,,181.08,
04/01/2015 13,94.7025,1834.7099999999996,,152.8475,
04/01/2015 14,82.26749999999998,1834.7099999999996,,128.155,
04/01/2015 15,93.655,1834.7099999999996,,103.7425,
04/01/2015 16,90.45249999999999,1834.7099999999996,,99.33,
04/01/2015 17,136.675,1834.7099999999996,,125.0975,
04/01/2015 18,143.3375,1834.7099999999996,,147.47,
04/01/2015 19,154.1125,1834.7099999999996,,167.885,
04/01/2015 20,230.54500000000002,1834.7099999999996,,188.65500000000003,
04/01/2015 21,314.2925,1834.7099999999996,,207.73749999999998,
04/01/2015 22,369.37750000000005,1834.7099999999996,,231.48749999999998,
04/01/2015 23,322.21750000000003,1834.7099999999996,,253.075,
05/01/2015 00,297.9525,1834.7099999999996,,271.3775,
05/01/2015 01,356.46500000000003,1834.7099999999996,,311.205,
05/01/2015 02,391.61249999999995,1834.7099999999996,,375.31499999999994,
05/01/2015 03,516.44,1834.7099999999996,,433.615,
05/01/2015 04,535.615,1834.7099999999996,,465.2075,
05/01/2015 05,411.905,1834.7099999999996,,449.4825,
05/01/2015 06,258.93,1834.7099999999996,,430.06000000000006,
05/01/2015 07,335.285,1834.7099999999996,,426.53000000000003,
05/01/2015 08,374.6925,1834.7099999999996,,439.72749999999996,
05/01/2015 09,474.685,1834.7099999999996,,453.57,
05/01/2015 10,529.4399999999999,1834.7099999999996,,452.1875,
05/01/2015 11,479.555,1834.7099999999996,,417.355,
05/01/2015 12,357.11749999999995,1834.7099999999996,,378.73749999999995,
05/01/2015 13,292.04,1834.7099999999996,,349.84,
05/01/2015 14,250.78249999999997,1834.7099999999996,,334.15250000000003,
05/01/2015 15,256.3125,1834.7099999999996,,320.80499999999995,
05/01/2015 16,275.685,1834.7099999999996,,321.425,
05/01/2015 17,247.52499999999998,1834.7099999999996,,336.33000000000004,
05/01/2015 18,254.5,1834.7099999999996,,349.40250000000003,
05/01/2015 19,300.1775,1834.7099999999996,,355.81,
05/01/2015 20,293.485,1834.7099999999996,,352.03249999999997,
