Date Time,solar_all_real_time,solar_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
05/01/2015 14,500.3075,2915.88,420.7175,232.70000000000002,
05/01/2015 15,258.89250000000004,2915.88,251.1625,135.875,
05/01/2015 16,51.247499999999995,2915.88,56.029999999999994,36.777499999999996,
05/01/2015 17,0.0,2915.88,0.0,0.0,
05/01/2015 18,0.0,2915.88,0.0,0.0,
05/01/2015 19,0.0,2915.88,0.0,0.0,
05/01/2015 20,0.0,2915.88,0.0,0.0,
05/01/2015 21,0.0,2915.88,0.0,0.0,
05/01/2015 22,0.0,2915.88,0.0,0.0,
05/01/2015 23,0.0,2915.88,0.0,0.0,
06/01/2015 00,0.0,2915.88,0.0,0.0,
06/01/2015 01,0.0,2915.88,0.0,0.0,
06/01/2015 02,0.0,2915.88,0.0,0.0,
06/01/2015 03,0.0,2915.88,0.0,0.0,
06/01/2015 04,0.0,2915.88,0.0,0.0,
06/01/2015 05,0.0,2915.88,0.0,0.0,
06/01/2015 06,0.0,2915.88,0.0,0.0,
06/01/2015 07,0.0,2915.88,0.0,0.0,
06/01/2015 08,0.28,2915.88,0.3875,0.3575,
06/01/2015 09,68.6725,2915.88,113.48,112.6875,
06/01/2015 10,276.45,2915.88,375.285,381.7375,
06/01/2015 11,515.785,2915.88,559.76,622.1975,
06/01/2015 12,562.9425,2915.88,612.53,707.21,
06/01/2015 13,488.01249999999993,2915.88,528.5775,606.97,
06/01/2015 14,332.65250000000003,2915.88,378.3025,430.72749999999996,
06/01/2015 15,133.39000000000001,2915.88,194.88,222.65,
06/01/2015 16,21.6175,2915.88,47.3325,52.654999999999994,
06/01/2015 17,0.0,2915.88,0.0,0.0,
06/01/2015 18,0.0,2915.88,0.0,0.0,
06/01/2015 19,0.0,2915.88,0.0,0.0,
06/01/2015 20,0.0,2915.88,0.0,0.0,
06/01/2015 21,0.0,2915.88,0.0,0.0,
06/01/2015 22,0.0,2915.88,0.0,0.0,
06/01/2015 23,0.0,2915.88,0.0,0.0,
07/01/2015 00,0.0,2915.88,0.0,0.0,
07/01/2015 01,0.0,2915.88,0.0,0.0,
07/01/2015 02,0.0,2915.88,0.0,0.0,
07/01/2015 03,0.0,2915.88,0.0,0.0,
07/01/2015 04,0.0,2915.88,0.0,0.0,
07/01/2015 05,0.0,2915.88,0.0,0.0,
07/01/2015 06,0.0,2915.88,0.0,0.0,
07/01/2015 07,0.0,2915.88,0.0,0.0,
07/01/2015 08,0.075,2915.88,0.2425,0.2775,
07/01/2015 09,86.525,2915.88,88.185,112.625,
07/01/2015 10,378.005,2915.88,282.205,383.92749999999995,
07/01/2015 11,702.86,2915.88,406.06000000000006,584.6475,
07/01/2015 12,901.0275,2915.88,436.28749999999997,632.495,
07/01/2015 13,785.2575,2915.88,400.5425,572.7475000000001,
07/01/2015 14,519.535,2915.88,319.22249999999997,448.0825,
07/01/2015 15,236.5125,2915.88,207.2475,264.8225,
07/01/2015 16,40.94500000000001,2915.88,53.402499999999996,68.2275,
07/01/2015 17,0.0,2915.88,0.0,0.0,
07/01/2015 18,0.0,2915.88,0.0,0.0,
07/01/2015 19,0.0,2915.88,0.0,0.0,
07/01/2015 20,0.0,2915.88,0.0,0.0,
07/01/2015 21,0.0,2915.88,0.0,0.0,
07/01/2015 22,0.0,2915.88,0.0,0.0,
07/01/2015 23,0.0,2915.88,0.0,0.0,
08/01/2015 00,0.0,2915.88,0.0,0.0,
08/01/2015 01,0.0,2915.88,0.0,0.0,
08/01/2015 02,0.0,2915.88,0.0,0.0,
08/01/2015 03,0.0,2915.88,0.0,0.0,
08/01/2015 04,0.0,2915.88,0.0,0.0,
