Date Time,load_all_real_time,elia_day_ahead
06/01/2015 11,13001.55,12228.0275
06/01/2015 12,12818.5375,12474.82
06/01/2015 13,12794.375,11800.24
06/01/2015 14,12760.5,11712.720000000001
06/01/2015 15,12727.945,11725.6825
06/01/2015 16,12850.7775,12122.905
06/01/2015 17,13511.325,12761.43
06/01/2015 18,13550.7,12770.2025
06/01/2015 19,12984.345,12525.8175
06/01/2015 20,12372.0275,11834.404999999999
06/01/2015 21,11705.7275,11281.4
06/01/2015 22,11872.0425,11392.664999999999
06/01/2015 23,11783.35,11291.8825
07/01/2015 00,11079.3025,10634.3325
07/01/2015 01,10511.4175,10057.355
07/01/2015 02,10177.0175,9660.5925
07/01/2015 03,10019.46,9529.3775
07/01/2015 04,10003.0475,9524.51
07/01/2015 05,10361.197499999998,9924.9975
07/01/2015 06,11397.304999999998,11063.442500000001
07/01/2015 07,12471.414999999999,12188.25
07/01/2015 08,12855.5875,12732.454999999998
07/01/2015 09,12798.789999999999,12856.19
07/01/2015 10,12661.9375,12761.205
07/01/2015 11,12769.039999999999,12629.32
07/01/2015 12,12580.235,12478.470000000001
07/01/2015 13,12561.237500000001,12640.27
07/01/2015 14,12507.369999999999,12486.692500000001
07/01/2015 15,12502.6325,12459.814999999999
07/01/2015 16,12645.585,12452.1525
07/01/2015 17,13388.1775,13165.9025
07/01/2015 18,13397.9225,13119.7425
07/01/2015 19,12779.322499999998,12636.9125
07/01/2015 20,12210.075,12058.0625
07/01/2015 21,11580.452500000001,11456.675
07/01/2015 22,11651.102499999999,11520.715
07/01/2015 23,11734.787500000002,11334.66
08/01/2015 00,10995.8825,10572.242499999998
08/01/2015 01,10519.215,10155.01
08/01/2015 02,10082.9125,9778.302500000002
08/01/2015 03,9803.2325,9577.18
08/01/2015 04,9827.7575,9615.170000000002
08/01/2015 05,10237.529999999999,10053.9075
08/01/2015 06,11277.375,11214.8675
08/01/2015 07,12298.942500000001,12156.654999999999
08/01/2015 08,12730.685000000001,12526.0875
08/01/2015 09,12854.380000000001,12595.785
08/01/2015 10,12925.662499999999,12611.837500000001
08/01/2015 11,13087.405,12676.945
08/01/2015 12,12757.2925,12093.865000000002
08/01/2015 13,12867.6475,12454.585
08/01/2015 14,12824.532500000001,12344.435000000001
08/01/2015 15,12772.4975,12325.197499999998
08/01/2015 16,12827.9,12358.377499999999
08/01/2015 17,13380.055,12939.03
08/01/2015 18,13325.875,13090.5775
08/01/2015 19,12690.4375,12577.9675
08/01/2015 20,12075.6525,11941.16
08/01/2015 21,11581.5875,11362.695
08/01/2015 22,11763.782500000001,11510.67
08/01/2015 23,11608.4625,11385.4275
09/01/2015 00,10943.7125,10737.8
09/01/2015 01,10393.1625,10229.455
09/01/2015 02,10040.715,9848.9475
09/01/2015 03,9870.057499999999,9603.9725
09/01/2015 04,9750.460000000001,9613.57
09/01/2015 05,10205.9525,10006.8575
09/01/2015 06,11222.3875,11121.372500000001
09/01/2015 07,12106.925,12135.000000000002
09/01/2015 08,12682.3575,12449.089999999998
09/01/2015 09,12724.687499999998,12516.449999999999
09/01/2015 10,12756.5975,12532.470000000001
09/01/2015 11,12912.6725,12642.8625
09/01/2015 12,12608.1875,12421.4575
09/01/2015 13,12504.925,12353.15
09/01/2015 14,12279.035,12162.18
09/01/2015 15,12168.9475,12023.789999999999
09/01/2015 16,12349.5025,12178.21
09/01/2015 17,12775.539999999999,12840.1625
09/01/2015 18,12702.765,12956.984999999999
09/01/2015 19,12132.899999999998,12416.0275
09/01/2015 20,11426.2875,11839.07
09/01/2015 21,10907.8025,11278.4725
09/01/2015 22,11107.767500000002,11288.8675
09/01/2015 23,11104.220000000001,11342.7225
10/01/2015 00,10498.0425,10622.4025
10/01/2015 01,9836.1525,9603.164999999999
10/01/2015 02,9323.155,9117.775000000001
10/01/2015 03,9085.460000000001,8853.7775
10/01/2015 04,8771.3825,8751.8275
10/01/2015 05,8895.5225,8611.9775
10/01/2015 06,9098.7625,8993.3925
